fecha,velocidad,potencia,humedad,presion,estado_operativo,temperatura
2019-01-01 11:20:00,7.982,1070.273,75.0125,115.0,100.0,26.51867
2019-01-01 11:30:00,8.355667,1115.587,74.615,115.0,100.0,26.75267
2019-01-01 11:40:00,7.341333,783.0577,74.13834,115.0,100.0,27.03033
2019-01-01 11:50:00,7.931334,893.2893,73.47,115.0,100.0,27.19933
2019-01-01 12:00:00,7.550667,886.2933,73.01334,115.0,100.0,27.35733
2019-01-01 12:10:00,7.946667,867.354,72.9025,115.0,100.0,27.71267
2019-01-01 12:20:00,6.97,769.6053,72.295,115.0,100.0,27.75167
2019-01-01 12:30:00,7.779,832.968,71.82166,115.0,100.0,28.07233
2019-01-01 12:40:00,7.514667,942.434,71.915,115.0,100.0,28.18733
2019-01-01 12:50:00,7.541667,931.6597,71.23333,115.0,100.0,28.49
2019-01-01 13:00:00,7.191333,727.4143,71.0975,115.0,100.0,28.719
2019-01-01 13:10:00,7.923333,943.1863,71.39333,115.0,100.0,28.89367
2019-01-01 13:20:00,7.784,785.6957,71.7375,115.0,100.0,29.15967
2019-01-01 13:30:00,7.313667,763.8323,71.13583,115.0,100.0,29.121
2019-01-01 13:40:00,7.313,740.952,70.84333,115.0,100.0,29.041
2019-01-01 13:50:00,5.380333,324.378,69.945,115.0,100.0,29.43667
2019-01-01 14:00:00,6.354,493.7917,69.25584,115.0,100.0,29.814
2019-01-01 14:10:00,5.793,447.349,69.1425,115.0,100.0,29.88167
2019-01-01 14:20:00,7.089334,666.2537,67.73666,115.0,100.0,30.15167
2019-01-01 14:30:00,7.333333,688.6403,67.095,115.0,100.0,30.35367
2019-01-01 14:40:00,6.41,468.134,67.54166,115.0,100.0,30.651
2019-01-01 14:50:00,6.596,474.179,67.59583,115.0,100.0,30.512
2019-01-01 15:00:00,5.501333,310.4423,65.29,115.0,100.0,30.54167
2019-01-01 15:10:00,6.252666,376.65,67.60083,115.0,100.0,30.35567
2019-01-01 15:20:00,5.754333,277.9033,69.69,115.0,100.0,30.304
2019-01-01 15:30:00,5.761,295.9773,70.17917,115.0,100.0,30.21233
2019-01-01 15:40:00,6.363333,379.5693,71.175,115.0,100.0,29.91667
2019-01-01 15:50:00,7.102,514.3727,73.1875,115.0,100.0,29.72533
2019-01-01 16:00:00,6.931667,503.3873,74.53584,115.0,100.0,29.52333
2019-01-01 16:10:00,5.935333,437.7457,75.18916,115.0,100.0,29.21633
2019-01-01 16:20:00,5.889667,339.8563,76.34417,115.0,100.0,29.30667
2019-01-01 16:30:00,5.099667,246.177,77.63167,115.0,100.0,29.023
2019-01-01 16:40:00,5.200667,325.708,77.76,115.0,100.0,29.07967
2019-01-01 16:50:00,4.491333,186.1353,78.22083,115.0,100.0,29.154
2019-01-01 17:00:00,4.083667,70.648,77.79333,115.0,100.0,29.194
2019-01-01 17:10:00,3.838,59.561,77.1575,115.0,100.0,29.23067
2019-01-01 17:20:00,3.707667,28.62,77.92834,115.0,100.0,29.27367
2019-01-01 17:30:00,3.558333,20.18067,78.44334,115.0,100.0,29.456
2019-01-01 17:40:00,3.205,-13.59,79.05334,115.0,75.0,29.32267
2019-01-01 17:50:00,3.570667,25.87,79.41666,115.0,100.0,29.43333
2019-01-01 18:00:00,3.584333,8.382334,80.21333,115.0,100.0,29.53267
2019-01-01 18:10:00,4.322,144.543,79.93166,115.0,100.0,29.477
2019-01-01 18:20:00,9.446333,1462.684,79.63,115.0,100.0,29.47867
2019-01-01 18:30:00,9.307667,1576.91,79.71333,115.0,100.0,29.4
2019-01-01 18:40:00,6.807,822.486,79.7175,115.0,100.0,29.48467
2019-01-01 18:50:00,5.739333,440.0033,79.89584,115.0,100.0,29.5
2019-01-01 19:00:00,5.406,376.081,79.3475,115.0,100.0,29.5
2019-01-01 19:10:00,6.516333,641.317,78.49167,115.0,100.0,29.5
2019-01-01 19:20:00,6.878,767.3447,78.48,115.0,100.0,29.50633
2019-01-01 19:30:00,8.397,1133.589,78.30583,115.0,100.0,29.5
2019-01-01 19:40:00,8.577,969.353,79.54916,115.0,100.0,29.5
2019-01-01 19:50:00,8.57,955.9747,80.5875,115.0,100.0,29.502
2019-01-01 20:00:00,8.503,974.8276,81.31,115.0,100.0,29.5
2019-01-01 20:10:00,8.984,1082.091,81.8575,115.0,100.0,29.46667
2019-01-01 20:20:00,9.096334,1194.563,81.59167,115.0,100.0,29.38333
2019-01-01 20:30:00,10.415,1593.862,81.65334,115.0,100.0,29.3
2019-01-01 20:40:00,11.28967,1911.034,82.395,115.0,100.0,29.24733
2019-01-01 20:50:00,11.336,1971.469,82.55833,115.0,100.0,29.10133
2019-01-01 21:00:00,12.043,2006.674,82.39167,115.0,100.0,28.99933
2019-01-01 21:10:00,11.84633,1999.709,83.21333,115.0,100.0,28.90533
2019-01-01 21:20:00,11.31933,1999.745,83.83,115.0,100.0,28.734
2019-01-01 21:30:00,11.12833,1999.998,83.92583,115.0,100.0,28.7
2019-01-01 21:40:00,10.42567,1949.963,84.39417,115.0,100.0,28.634
2019-01-01 21:50:00,9.003,1268.399,85.19334,115.0,100.0,28.65167
2019-01-01 22:00:00,9.724667,1381.337,85.56333,115.0,100.0,28.70667
2019-01-01 22:10:00,7.824333,859.888,84.87917,115.0,100.0,28.62933
2019-01-01 22:20:00,7.219666,618.6473,85.35583,115.0,100.0,28.50333
2019-01-01 22:30:00,8.020333,808.263,85.53584,115.0,100.0,28.39733
2019-01-01 22:40:00,9.198334,1311.524,85.52834,115.0,100.0,28.13267
2019-01-01 22:50:00,9.152,1190.985,86.01667,115.0,100.0,27.82967
2019-01-01 23:00:00,11.22067,1928.376,86.6125,115.0,100.0,27.63367
2019-01-01 23:10:00,11.73133,1999.448,87.01417,115.0,100.0,27.27267
2019-01-01 23:20:00,12.41033,2000.007,87.32,115.0,100.0,26.97367
2019-01-01 23:30:00,12.46633,2000.298,88.78083,115.0,100.0,26.85567
2019-01-01 23:40:00,10.539,1814.306,87.9125,115.0,100.0,26.55767
2019-01-01 23:50:00,8.568666,1147.534,86.54333,115.0,100.0,26.72767
